RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;AGNO
1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;510;158;234;221;237;0;0;0;0;850;72;92;21;11;0;0;0;0;196;30;27;12;7;0;0;0;0;76;13;14;1;1;0;0;0;0;29;22;18;10;9;0;0;0;0;59;13;5;2;0;0;0;0;0;20;8;4;2;3;0;0;0;0;17;3;1;0;0;0;0;0;0;4;2006
1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;561;22;0;29;28;0;0;0;0;79;5;0;1;7;0;0;0;0;13;12;0;10;5;0;0;0;0;27;0;0;0;1;0;0;0;0;1;38;0;22;24;0;0;0;0;84;1;0;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2006
1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;610;0;0;6;16;0;0;0;0;22;0;0;95;126;0;0;0;0;221;0;0;2;3;0;0;0;0;5;0;0;5;3;0;0;0;0;8;0;0;1;1;0;0;0;0;2;0;0;12;5;0;0;0;0;17;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;2006
1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;661;9;0;3;6;0;0;0;0;18;45;0;52;64;0;0;0;0;161;1;0;2;0;0;0;0;0;3;4;0;1;0;0;0;0;0;5;2;0;4;1;0;0;0;0;7;14;0;18;8;0;0;0;0;40;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;3;2006
3;5;ESCUELA PEDRO VICENTE GUTIERREZ TORRES;E;93;1;1201;ARICA;2;0;163;0;60;98;143;0;0;0;0;301;0;43;30;14;0;0;0;0;87;0;0;6;7;0;0;0;0;13;0;2;1;1;0;0;0;0;4;0;16;11;34;0;0;0;0;61;0;14;5;1;0;0;0;0;20;0;0;3;5;0;0;0;0;8;0;0;0;1;0;0;0;0;1;2006
4;3;LICEO OCTAVIO PALMA PEREZ;A;1;1;1201;ARICA;2;0;310;188;177;136;134;0;0;0;0;635;214;188;191;188;0;0;0;0;781;3;6;2;3;0;0;0;0;14;2;2;1;0;0;0;0;0;5;2;2;2;1;0;0;0;0;7;2;0;2;1;0;0;0;0;5;4;0;0;0;0;0;0;0;4;2;1;1;1;0;0;0;0;5;2006
5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;110;5;11;16;14;18;19;20;26;129;10;0;10;13;20;18;11;15;97;1;1;0;1;0;0;2;2;7;2;0;0;1;0;0;0;1;4;0;2;0;1;0;1;0;0;4;0;0;0;0;0;0;1;0;1;0;1;1;0;1;2;0;1;6;1;1;2;0;0;1;0;0;5;2006
5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;310;55;44;49;63;0;0;0;0;211;62;34;41;50;0;0;0;0;187;16;7;11;2;0;0;0;0;36;7;3;7;5;0;0;0;0;22;12;16;3;2;0;0;0;0;33;9;4;8;2;0;0;0;0;23;3;3;7;0;0;0;0;0;13;3;2;2;1;0;0;0;0;8;2006
5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;360;0;0;4;13;0;0;0;0;17;0;0;1;8;0;0;0;0;9;0;0;3;4;0;0;0;0;7;0;0;3;2;0;0;0;0;5;0;0;4;9;0;0;0;0;13;0;0;2;9;0;0;0;0;11;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;2006
5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;361;15;0;36;0;0;0;0;0;51;12;0;29;0;0;0;0;0;41;4;0;20;0;0;0;0;0;24;2;0;12;0;0;0;0;0;14;10;0;38;0;0;0;0;0;48;5;0;13;0;0;0;0;0;18;1;0;2;0;0;0;0;0;3;0;0;1;0;0;0;0;0;1;2006
