AGNO;RBD;DGV_RBD;NOM_RBD;LET_RBD;NUM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2007;1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;510;145;160;211;187;0;0;0;0;703;76;84;22;20;0;0;0;0;202;23;15;28;20;0;0;0;0;86;11;6;0;1;0;0;0;0;18;25;7;6;9;0;0;0;0;47;16;7;4;0;0;0;0;0;27;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2007;1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;561;16;0;24;21;0;0;0;0;61;0;0;3;0;0;0;0;0;3;17;0;7;1;0;0;0;0;25;0;0;0;0;0;0;0;0;0;15;0;18;16;0;0;0;0;49;0;0;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;610;0;0;9;7;0;0;0;0;16;0;0;75;90;0;0;0;0;165;0;0;1;1;0;0;0;0;2;0;0;8;7;0;0;0;0;15;0;0;1;1;0;0;0;0;2;0;0;5;3;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;1;9;LICEO POLITECNICO ARICA;A;2;1;1201;ARICA;2;0;661;1;0;5;4;0;0;0;0;10;41;0;53;47;0;0;0;0;141;0;0;1;0;0;0;0;0;1;2;0;1;1;0;0;0;0;4;6;0;9;2;0;0;0;0;17;19;0;24;9;0;0;0;0;52;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
2007;3;5;ESCUELA PEDRO VICENTE GUTIERREZ TORRES;E;93;1;1201;ARICA;2;0;163;0;7;95;114;0;0;0;0;216;0;9;24;12;0;0;0;0;45;0;0;3;3;0;0;0;0;6;0;1;0;1;0;0;0;0;2;0;0;15;22;0;0;0;0;37;0;6;7;1;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;4;3;LICEO OCTAVIO PALMA PEREZ;A;1;1;1201;ARICA;2;0;310;144;182;169;132;0;0;0;0;627;203;209;186;188;0;0;0;0;786;1;1;2;0;0;0;0;0;4;0;2;1;2;0;0;0;0;5;1;4;2;2;0;0;0;0;9;2;4;1;1;0;0;0;0;8;2;3;5;0;0;0;0;0;10;1;1;2;0;0;0;0;0;4
2007;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;110;11;8;13;16;14;20;30;21;133;12;7;3;9;13;17;20;12;93;1;0;1;1;0;1;1;1;6;1;0;0;1;0;0;1;0;3;0;0;0;0;2;0;1;2;5;0;1;0;1;0;0;1;0;3;7;2;0;0;1;5;6;2;23;3;1;1;1;0;1;2;0;9
2007;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;310;46;55;37;48;0;0;0;0;186;31;54;32;40;0;0;0;0;157;8;11;6;0;0;0;0;0;25;8;9;1;0;0;0;0;0;18;11;7;7;4;0;0;0;0;29;11;11;10;4;0;0;0;0;36;1;0;0;0;0;0;0;0;1;3;2;3;0;0;0;0;0;8
2007;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;360;0;0;0;10;0;0;0;0;10;0;0;0;5;0;0;0;0;5;0;0;0;4;0;0;0;0;4;0;0;0;4;0;0;0;0;4;0;0;0;5;0;0;0;0;5;0;0;0;7;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;5;1;LICEO JOVINA NARANJO FERNANDEZ;A;5;1;1201;ARICA;2;0;361;9;0;25;0;0;0;0;0;34;4;0;17;0;0;0;0;0;21;14;0;19;0;0;0;0;0;33;5;0;10;0;0;0;0;0;15;14;0;23;0;0;0;0;0;37;8;0;12;0;0;0;0;0;20;1;0;5;0;0;0;0;0;6;0;0;1;0;0;0;0;0;1
2007;7;8;LICEO POLITEC. ANTONIO VARAS DE LA BARRA;B;4;1;1201;ARICA;2;0;410;96;87;33;39;0;0;0;0;255;108;72;104;98;0;0;0;0;382;19;10;4;0;0;0;0;0;33;8;7;1;1;0;0;0;0;17;13;13;3;0;0;0;0;0;29;11;6;6;5;0;0;0;0;28;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
2007;7;8;LICEO POLITEC. ANTONIO VARAS DE LA BARRA;B;4;1;1201;ARICA;2;0;510;38;53;65;65;0;0;0;0;221;53;47;1;5;0;0;0;0;106;9;6;3;1;0;0;0;0;19;7;8;0;0;0;0;0;0;15;10;5;8;3;0;0;0;0;26;8;1;0;0;0;0;0;0;9;2;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
2007;7;8;LICEO POLITEC. ANTONIO VARAS DE LA BARRA;B;4;1;1201;ARICA;2;0;610;32;38;30;43;0;0;0;0;143;44;31;70;49;0;0;0;0;194;17;11;2;1;0;0;0;0;31;3;3;4;0;0;0;0;0;10;14;15;11;2;0;0;0;0;42;11;7;6;5;0;0;0;0;29;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2
2007;8;6;COLEGIO INT. EDUARDO FREI MONTALVA;D;2;1;1201;ARICA;2;0;110;26;28;36;33;31;42;41;59;296;24;25;32;25;27;44;46;49;272;0;1;3;3;4;4;2;4;21;0;0;0;1;0;1;4;1;7;3;0;0;0;3;1;1;0;8;0;0;0;0;0;0;1;4;5;1;3;0;2;2;1;3;4;16;4;5;1;2;1;1;4;0;18
2007;8;6;COLEGIO INT. EDUARDO FREI MONTALVA;D;2;1;1201;ARICA;2;0;310;91;98;66;77;0;0;0;0;332;89;60;86;62;0;0;0;0;297;17;11;12;10;0;0;0;0;50;12;16;16;6;0;0;0;0;50;21;13;12;8;0;0;0;0;54;8;4;12;3;0;0;0;0;27;4;1;0;1;0;0;0;0;6;2;2;2;0;0;0;0;0;6
2007;9;4;ESCUELA REPUBLICA DE ISRAEL;D;4;1;1201;ARICA;2;0;110;103;93;89;114;92;111;99;96;797;65;71;89;80;82;79;81;96;643;1;1;0;0;0;1;0;1;4;0;0;0;1;0;2;0;0;3;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;2;2;0;3;3;1;1;1;1;12;2;1;2;2;2;0;1;2;12
