AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_06;TRA_HOM_05;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO
2010;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;1;463;0;0;2;3;0;0;0;0;5;0;0;9;7;0;0;0;0;16;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;3;1;0;0;0;0;4;0;0;13;4;0;0;0;0;17;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2010;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;1;510;114;186;196;193;0;0;0;0;689;88;88;15;17;0;0;0;0;208;33;30;11;9;0;0;0;0;83;11;18;1;1;0;0;0;0;31;26;32;23;16;0;0;0;0;97;19;15;4;2;0;0;0;0;40;23;26;14;5;0;0;0;0;68;15;6;2;1;0;0;0;0;24
2010;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;1;563;23;0;23;25;0;0;0;0;71;22;0;1;1;0;0;0;0;24;4;0;21;3;0;0;0;0;28;4;0;0;0;0;0;0;0;4;34;0;45;7;0;0;0;0;86;29;0;1;0;0;0;0;0;30;8;0;8;0;0;0;0;0;16;3;0;1;0;0;0;0;0;4
2010;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;1;610;0;0;6;5;0;0;0;0;11;0;0;90;81;0;0;0;0;171;0;0;1;0;0;0;0;0;1;0;0;7;2;0;0;0;0;9;0;0;1;0;0;0;0;0;1;0;0;20;12;0;0;0;0;32;0;0;0;2;0;0;0;0;2;0;0;5;4;0;0;0;0;9
2010;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;1;663;0;0;2;4;0;0;0;0;6;0;0;82;76;0;0;0;0;158;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;0;2;1;0;0;0;0;3;0;0;52;12;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;1;863;0;0;5;0;0;0;0;0;5;0;0;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
2010;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;15101;ARICA;2;1;165;105;65;77;0;0;0;0;0;247;42;51;20;0;0;0;0;0;113;2;1;10;0;0;0;0;0;13;7;3;4;0;0;0;0;0;14;26;27;32;0;0;0;0;0;85;15;20;6;0;0;0;0;0;41;3;48;51;0;0;0;0;0;102;2;23;0;0;0;0;0;0;25
2010;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;15101;ARICA;2;1;167;0;41;39;0;0;0;0;0;80;0;20;0;0;0;0;0;0;20;0;1;7;0;0;0;0;0;8;0;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4;19;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0
2010;4;3;LICEO OCTAVIO PALMA PEREZ;15;15101;ARICA;2;1;310;197;152;161;131;0;0;0;0;641;158;166;186;196;0;0;0;0;706;4;2;7;0;0;0;0;0;13;4;2;2;1;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;7;4;5;2;0;0;0;0;18;8;5;8;3;0;0;0;0;24
2010;5;1;JOVINA NARANJO FERNANDEZ;15;15101;ARICA;2;1;110;13;18;8;17;11;19;16;12;114;13;7;7;15;11;8;9;16;86;2;1;1;0;0;2;1;1;8;1;0;0;0;0;0;1;0;2;0;0;1;0;1;0;2;0;4;2;0;0;0;1;1;0;0;4;0;1;2;0;1;0;6;1;11;0;0;1;1;0;0;3;0;5
2010;5;1;JOVINA NARANJO FERNANDEZ;15;15101;ARICA;2;1;310;60;37;21;37;0;0;0;0;155;33;41;24;25;0;0;0;0;123;17;7;2;0;0;0;0;0;26;2;3;1;1;0;0;0;0;7;7;4;1;2;0;0;0;0;14;3;2;1;0;0;0;0;0;6;7;7;2;3;0;0;0;0;19;3;2;3;2;0;0;0;0;10
2010;5;1;JOVINA NARANJO FERNANDEZ;15;15101;ARICA;2;1;363;17;0;22;0;0;0;0;0;39;9;0;27;0;0;0;0;0;36;3;0;7;0;0;0;0;0;10;3;0;6;0;0;0;0;0;9;13;0;27;0;0;0;0;0;40;17;0;14;0;0;0;0;0;31;2;0;8;0;0;0;0;0;10;2;0;3;0;0;0;0;0;5
2010;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;15101;ARICA;2;1;410;28;54;16;21;0;0;0;0;119;51;50;53;88;0;0;0;0;242;8;2;2;1;0;0;0;0;13;11;1;2;1;0;0;0;0;15;5;0;1;0;0;0;0;0;6;6;4;8;4;0;0;0;0;22;1;0;2;0;0;0;0;0;3;2;3;0;0;0;0;0;0;5
2010;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;15101;ARICA;2;1;510;84;42;87;69;0;0;0;0;282;5;48;1;5;0;0;0;0;59;9;4;4;0;0;0;0;0;17;3;8;0;0;0;0;0;0;11;5;1;4;4;0;0;0;0;14;1;2;0;1;0;0;0;0;4;3;1;7;1;0;0;0;0;12;0;3;0;0;0;0;0;0;3
2010;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;15101;ARICA;2;1;610;26;38;35;17;0;0;0;0;116;59;37;88;56;0;0;0;0;240;8;11;3;2;0;0;0;0;24;4;8;4;1;0;0;0;0;17;3;4;1;0;0;0;0;0;8;5;5;5;1;0;0;0;0;16;2;3;1;3;0;0;0;0;9;4;2;4;0;0;0;0;0;10
2010;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;15101;ARICA;2;1;110;12;13;23;15;28;21;39;34;185;14;14;12;11;23;23;11;31;139;0;0;0;1;1;3;4;1;10;0;0;1;0;0;0;3;3;7;0;1;0;1;1;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;1;2;4;3;4;0;15;1;2;2;2;2;2;3;0;14
2010;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;15101;ARICA;2;1;310;23;48;28;72;0;0;0;0;171;34;40;32;50;0;0;0;0;156;16;8;14;3;0;0;0;0;41;15;11;7;2;0;0;0;0;35;7;7;3;0;0;0;0;0;17;6;4;4;3;0;0;0;0;17;9;10;2;3;0;0;0;0;24;5;3;1;1;0;0;0;0;10
2010;9;4;ESCUELA REPUBLICA DE ISRAEL;15;15101;ARICA;2;1;110;62;66;84;104;85;83;111;82;677;65;64;70;64;72;81;77;75;568;4;0;0;2;1;4;1;0;12;1;1;0;1;0;2;5;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;1;2;2;2;6;1;21;2;3;2;2;1;3;2;0;15
2010;10;8;ESCUELA REPUBLICA DE FRANCIA;15;15101;ARICA;2;1;110;0;0;0;0;0;0;0;0;0;41;36;42;52;38;67;63;57;396;0;0;0;0;0;0;0;0;0;0;0;2;0;2;3;10;4;21;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;5;0;0;0;0;0;0;0;0;0;7;6;3;3;3;5;8;4;39
2010;10;8;ESCUELA REPUBLICA DE FRANCIA;15;15101;ARICA;2;1;310;0;0;0;0;0;0;0;0;0;30;24;15;19;0;0;0;0;88;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;3;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0;0;0;6
2010;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;15101;ARICA;2;1;110;7;16;16;12;7;18;16;9;101;11;8;19;17;15;11;19;10;110;1;0;1;0;0;3;0;0;5;0;1;1;0;0;0;1;0;3;3;0;0;1;0;0;0;2;6;0;0;1;0;0;0;0;0;1;3;1;1;3;1;0;2;1;12;3;1;3;0;2;1;0;2;12
2010;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;15101;ARICA;2;1;110;7;13;15;29;25;21;23;31;164;25;14;10;16;25;35;28;22;175;1;1;1;0;1;2;1;0;7;0;0;0;0;0;2;1;0;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;3;1;0;0;2;3;1;3;1;11;4;1;1;3;1;0;0;0;10
2010;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;15101;ARICA;2;1;110;6;8;14;15;15;19;14;20;111;7;15;13;14;18;12;25;14;118;0;0;2;1;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;0;1;7;0;0;0;1;0;0;0;1;2
2010;14;0;ESCUELA ROMULO J. PENA MATURANA;15;15101;ARICA;2;1;110;14;14;10;16;8;14;18;11;105;7;11;9;7;16;5;13;6;74;0;0;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;2;0;0;0;6;1;4;2;0;0;0;1;0;8
