AGNO;RBD;DV_RBD;NOM_RBD;COD_REG_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPE;RURAL_RBD;COD_ENSE;APR_HOM_01;APR_HOM_02;APR_HOM_03;APR_HOM_04;APR_HOM_05;APR_HOM_06;APR_HOM_07;APR_HOM_08;APR_HOM_TO;APR_MUJ_01;APR_MUJ_02;APR_MUJ_03;APR_MUJ_04;APR_MUJ_05;APR_MUJ_06;APR_MUJ_07;APR_MUJ_08;APR_MUJ_TO;REP_HOM_01;REP_HOM_02;REP_HOM_03;REP_HOM_04;REP_HOM_05;REP_HOM_06;REP_HOM_07;REP_HOM_08;REP_HOM_TO;REP_MUJ_01;REP_MUJ_02;REP_MUJ_03;REP_MUJ_04;REP_MUJ_05;REP_MUJ_06;REP_MUJ_07;REP_MUJ_08;REP_MUJ_TO;RET_HOM_01;RET_HOM_02;RET_HOM_03;RET_HOM_04;RET_HOM_05;RET_HOM_06;RET_HOM_07;RET_HOM_08;RET_HOM_TO;RET_MUJ_01;RET_MUJ_02;RET_MUJ_03;RET_MUJ_04;RET_MUJ_05;RET_MUJ_06;RET_MUJ_07;RET_MUJ_08;RET_MUJ_TO;TRA_HOM_01;TRA_HOM_02;TRA_HOM_03;TRA_HOM_04;TRA_HOM_05;TRA_HOM_06;TRA_HOM_07;TRA_HOM_08;TRA_HOM_TO;TRA_MUJ_01;TRA_MUJ_02;TRA_MUJ_03;TRA_MUJ_04;TRA_MUJ_05;TRA_MUJ_06;TRA_MUJ_07;TRA_MUJ_08;TRA_MUJ_TO;SI_HOM_01;SI_HOM_02;SI_HOM_03;SI_HOM_04;SI_HOM_05;SI_HOM_06;SI_HOM_07;SI_HOM_08;SI_HOM_TO;SI_MUJ_01;SI_MUJ_02;SI_MUJ_03;SI_MUJ_04;SI_MUJ_05;SI_MUJ_06;SI_MUJ_07;SI_MUJ_08;SI_MUJ_TO
2012;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;0;463;0;0;1;3;0;0;0;0;4;0;0;9;6;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4;4;0;0;0;0;8;0;0;10;9;0;0;0;0;19;0;0;1;2;0;0;0;0;3;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;0;510;50;81;118;139;0;0;0;0;388;16;40;2;4;0;0;0;0;62;10;10;6;10;0;0;0;0;36;5;14;0;0;0;0;0;0;19;30;24;26;21;0;0;0;0;101;16;14;1;0;0;0;0;0;31;22;17;39;16;0;0;0;0;94;11;11;7;1;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;0;563;16;0;21;40;0;0;0;0;77;14;0;1;3;0;0;0;0;18;7;0;12;6;0;0;0;0;25;2;0;0;0;0;0;0;0;2;35;0;65;14;0;0;0;0;114;27;0;0;1;0;0;0;0;28;10;0;15;2;0;0;0;0;27;5;0;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;0;610;0;0;5;5;0;0;0;0;10;0;0;70;79;0;0;0;0;149;0;0;0;2;0;0;0;0;2;0;0;11;6;0;0;0;0;17;0;0;1;3;0;0;0;0;4;0;0;11;7;0;0;0;0;18;0;0;4;2;0;0;0;0;6;0;0;22;11;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;0;663;0;0;1;2;0;0;0;0;3;0;0;52;53;0;0;0;0;105;0;0;1;1;0;0;0;0;2;0;0;1;2;0;0;0;0;3;0;0;4;1;0;0;0;0;5;0;0;65;22;0;0;0;0;87;0;0;1;0;0;0;0;0;1;0;0;9;2;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;1;9;LICEO POLITECNICO ARICA;15;15101;ARICA;2;0;863;0;0;2;2;0;0;0;0;4;0;0;7;5;0;0;0;0;12;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;2;0;0;5;1;0;0;0;0;6;0;0;4;3;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;15101;ARICA;2;1;165;181;46;19;0;0;0;0;0;246;66;3;5;0;0;0;0;0;74;4;5;1;0;0;0;0;0;10;6;1;0;0;0;0;0;0;7;101;32;24;0;0;0;0;0;157;25;10;12;0;0;0;0;0;47;1;14;0;0;0;0;0;0;15;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;15101;ARICA;2;1;167;0;51;21;0;0;0;0;0;72;0;14;8;0;0;0;0;0;22;0;0;5;0;0;0;0;0;5;0;1;1;0;0;0;0;0;2;0;26;36;0;0;0;0;0;62;0;11;13;0;0;0;0;0;24;0;6;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;4;3;LICEO OCTAVIO PALMA PEREZ;15;15101;ARICA;2;0;310;144;119;188;153;0;0;0;0;604;121;161;146;163;0;0;0;0;591;4;4;4;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;2;0;1;0;0;0;0;0;3;5;6;6;5;0;0;0;0;22;6;2;9;2;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;5;1;JOVINA NARANJO FERNANDEZ;15;15101;ARICA;2;0;110;10;19;9;13;8;18;30;48;155;15;14;7;6;14;18;29;38;141;0;2;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;2;0;1;0;2;1;1;0;0;5;0;1;1;0;0;2;1;0;5;0;0;4;0;1;0;0;3;8;3;0;2;1;1;2;4;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;5;1;JOVINA NARANJO FERNANDEZ;15;15101;ARICA;2;0;310;70;54;41;32;0;0;0;0;197;60;44;34;41;0;0;0;0;179;1;11;5;5;0;0;0;0;22;7;5;4;6;0;0;0;0;22;4;2;6;2;0;0;0;0;14;2;5;2;2;0;0;0;0;11;12;2;15;3;0;0;0;0;32;15;7;14;4;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;5;1;JOVINA NARANJO FERNANDEZ;15;15101;ARICA;2;0;363;12;0;31;0;0;0;0;0;43;9;0;21;0;0;0;0;0;30;3;0;12;0;0;0;0;0;15;3;0;9;0;0;0;0;0;12;22;0;26;0;0;0;0;0;48;15;0;9;0;0;0;0;0;24;4;0;10;0;0;0;0;0;14;4;0;5;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;15101;ARICA;2;0;410;67;40;7;6;0;0;0;0;120;50;41;55;48;0;0;0;0;194;12;7;1;0;0;0;0;0;20;6;4;5;1;0;0;0;0;16;6;2;2;1;0;0;0;0;11;7;4;3;1;0;0;0;0;15;12;10;5;1;0;0;0;0;28;6;6;8;4;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;15101;ARICA;2;0;510;49;39;94;73;0;0;0;0;255;34;24;4;6;0;0;0;0;68;9;2;2;5;0;0;0;0;18;5;1;0;0;0;0;0;0;6;2;1;2;2;0;0;0;0;7;4;3;0;0;0;0;0;0;7;7;3;13;4;0;0;0;0;27;5;1;3;2;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;15101;ARICA;2;0;610;25;40;30;30;0;0;0;0;125;31;40;47;56;0;0;0;0;174;17;10;1;0;0;0;0;0;28;11;7;6;2;0;0;0;0;26;10;5;4;1;0;0;0;0;20;1;6;6;5;0;0;0;0;18;14;5;7;3;0;0;0;0;29;5;8;16;2;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;15101;ARICA;2;0;110;17;13;17;21;28;20;21;25;162;13;5;17;12;13;12;19;32;123;2;2;0;0;3;1;2;6;16;1;0;0;0;0;1;4;0;6;3;2;0;0;5;0;1;4;15;3;0;0;0;0;0;1;0;4;3;7;0;1;1;3;3;5;23;2;0;1;0;2;2;1;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
